Fleet,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
Pro,82,,Kevin Greenslade,M,M,1,ATT
Pro,33,,Jim Crossley,M,M,1,ATT
Pro,659,,James Dinsmore,M,M,1,ATT
Pro,67,,Simon Pettifer,M,M,1,ATT
Pro,56,,Keith Atkinson,-,M,1,ATT
Pro,34,,Mark Ingram,M,M,1,ATT
Pro,427,,Leigh Kingaby,-,M,1,ATT
Pro,735 F,,Yann Vasseur,-,M,1,ATT
Pro,945,,Nick Welsh,-,M,1,ATT
Pro,68,,Scotty Stallman,U20,M,1,ATT
Pro,606,,Garry Connell,M,M,1,ATT
Pro,71,,Sarah Jackson,-,F,1,ATT
Pro,97,,Paul Sibley,-,M,1,ATT
Pro,630,,Shaun Cook,-,M,1,ATT
Pro,14,,Scott Harrison,M,M,1,ATT
Pro,78,,Tim Frampton,V,M,1,ATT
Pro,96,,Jenna Gibson,-,F,1,ATT
Pro,616,,Sam Anstey,U20,M,1,ATT
Pro,120,,Larry Chan,V,M,1,ATT
Pro,426,,James Faley,U20,M,1,ATT
Pro,93,yell 12,Richard Hobson,M,M,1,ATT
Pro,359,,Josh Lane,U20,M,1,ATT
Pro,K77,,Ant Baker,M,M,1,ATT
