Tally,Fleet,Division,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,Code
1,Amateur,,88,,Roger Clark,GM,M,ATT
2,Amateur,,35,,Gerard Northwood,V,M,ATT
3,Amateur,,199,,Alistair Campbell,M,M,ATT
4,Amateur,,984,,Simon Chippington,M,M,ATT
5,Amateur,,74,,Marti Jerrard,GM,M,ATT
6,Amateur,,441,,Charles Milner,V,M,ATT
7,Amateur,,44,,Dave Strudwick,GM,M,ATT
8,Amateur,,16,,Bob Ingram,V,M,ATT
9,Amateur,,433,,Andy Turvey,GM,M,ATT
10,Amateur,,710,,Ian Beaton,M,M,ATT
11,Amateur,,318,,Tamer Bereiki,-,M,ATT
12,Amateur,,190,,Olav Davis,M,M,ATT
13,Amateur,,321,,Mark Drake,GM,M,ATT
14,Amateur,,562,,Joseph Drake,-,M,ATT
15,Amateur,,673,139,Gordo Dennis,M,M,ATT
16,Amateur,,997,RN03,Jonny Kirton,-,M,ATT
17,Amateur,,179,,Harry Somerville,J,M,ATT
18,Amateur,,563,,Clay Yelland,Y,M,ATT
19,Amateur,,572,,Thomas Harrison,M,M,ATT
20,Amateur,,158,,Tom Joyce,GM,M,ATT
21,Amateur,,550,,Sullie Yelland,J,M,ATT
22,Amateur,,554,RN77,Lila Yelland,J,M,ATT
